station_code,valid_from,valid_to,segment_number,n_segments_reported,curve_type,equation_type,stage_min_cm,stage_max_cm,table_stage_step_cm,coefficient_a,coefficient_h0_m,coefficient_n,consistency_level,rating_curve_id,valid_from_dt,valid_to_dt
73960000,1989-09-16 00:00:00.0,1995-05-26 00:00:00.0,2,3,1,1,190.0,343.0,1.0,381.5458,1.31,1.3,2,73960000_1989-09-16 00:00:00.0_1995-05-26 00:00:00.0,1989-09-16,1995-05-26
73960000,1989-09-16 00:00:00.0,1995-05-26 00:00:00.0,3,3,1,1,343.0,800.0,1.0,295.9724,1.17,1.51,2,73960000_1989-09-16 00:00:00.0_1995-05-26 00:00:00.0,1989-09-16,1995-05-26
73960000,1995-05-27 00:00:00.0,2000-10-14 00:00:00.0,1,2,1,1,120.0,251.0,1.0,216.2024,0.99,1.806,2,73960000_1995-05-27 00:00:00.0_2000-10-14 00:00:00.0,1995-05-27,2000-10-14
73960000,1995-05-27 00:00:00.0,2000-10-14 00:00:00.0,2,2,1,1,251.0,700.0,1.0,295.9724,1.17,1.51,2,73960000_1995-05-27 00:00:00.0_2000-10-14 00:00:00.0,1995-05-27,2000-10-14
73960000,2000-10-15 00:00:00.0,2005-06-16 00:00:00.0,1,3,1,1,120.0,181.0,1.0,216.0,0.98,1.806,2,73960000_2000-10-15 00:00:00.0_2005-06-16 00:00:00.0,2000-10-15,2005-06-16
73960000,2000-10-15 00:00:00.0,2005-06-16 00:00:00.0,2,3,1,1,181.0,343.0,1.0,381.5458,1.31,1.3,2,73960000_2000-10-15 00:00:00.0_2005-06-16 00:00:00.0,2000-10-15,2005-06-16
73960000,2000-10-15 00:00:00.0,2005-06-16 00:00:00.0,3,3,1,1,343.0,550.0,1.0,295.9724,1.17,1.51,2,73960000_2000-10-15 00:00:00.0_2005-06-16 00:00:00.0,2000-10-15,2005-06-16
73960000,2005-06-17 00:00:00.0,2008-10-05 00:00:00.0,1,3,1,1,120.0,269.0,1.0,210.0,0.91,1.83,2,73960000_2005-06-17 00:00:00.0_2008-10-05 00:00:00.0,2005-06-17,2008-10-05
73960000,2005-06-17 00:00:00.0,2008-10-05 00:00:00.0,2,3,1,1,269.0,360.0,1.0,217.7679,0.8,1.6,2,73960000_2005-06-17 00:00:00.0_2008-10-05 00:00:00.0,2005-06-17,2008-10-05
73960000,2005-06-17 00:00:00.0,2008-10-05 00:00:00.0,3,3,1,1,360.0,650.0,1.0,295.9724,1.17,1.51,2,73960000_2005-06-17 00:00:00.0_2008-10-05 00:00:00.0,2005-06-17,2008-10-05
73960000,2008-10-06 00:00:00.0,2015-01-02 00:00:00.0,1,2,1,1,110.0,241.0,1.0,204.9,0.95,1.83,2,73960000_2008-10-06 00:00:00.0_2015-01-02 00:00:00.0,2008-10-06,2015-01-02
