codigoestacao,veredicto,n_vigencias,vigencia_min,vigencia_max,huecos_vigencia_post_2000,cota_min_cm,cota_max_cm,n_aforos_desde_2000,aforo_datetime_min,aforo_datetime_max,mape_validacion
74100000,usable,8.0,1948-08-03 00:00:00.0,2026-12-31 00:00:00.0,0.0,80.0,1800.0,126.0,2000-01-12 07:00:00,2026-03-18 15:23:00,0.038610399112539766
74120700,sin_curva,,,,,,,,,,
74120750,sin_curva,,,,,,,,,,
74120900,sin_curva,,,,,,,,,,
74130000,sin_curva,,,,,,,,,,
74199000,sin_curva,,,,,,,,,,
74200500,sin_curva,,,,,,,,,,
74200900,sin_curva,,,,,,,,,,
74200980,sin_curva,,,,,,,,,,
74201000,sin_curva,,,,,,,,,,
74295000,usable_sin_validacion,7.0,1976-01-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,6.0,700.0,0.0,,,
74300000,usable_sin_validacion,6.0,2000-05-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,30.0,1250.0,0.0,,,
74300200,sin_curva,,,,,,,,,,
74314970,usable_sin_validacion,1.0,2015-05-01 00:00:00.0,2024-12-31 00:00:00.0,0.0,30.0,1020.0,0.0,,,
74314980,sin_curva,,,,,,,,,,
74315000,sin_curva,,,,,,,,,,
74319000,sin_curva,,,,,,,,,,
74319800,sin_curva,,,,,,,,,,
74320500,sin_curva,,,,,,,,,,
74322000,sin_curva,,,,,,,,,,
74322100,sin_curva,,,,,,,,,,
74322200,sin_curva,,,,,,,,,,
74323000,sin_curva,,,,,,,,,,
74324000,sin_curva,,,,,,,,,,
74329000,usable_sin_validacion,2.0,2015-03-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,8.0,1400.0,0.0,,,
74339000,sin_curva,,,,,,,,,,
74340000,sin_curva,,,,,,,,,,
74350000,sin_curva,,,,,,,,,,
74350100,sin_curva,,,,,,,,,,
74350900,sin_curva,,,,,,,,,,
74351000,sin_curva,,,,,,,,,,
74352000,sin_curva,,,,,,,,,,
74352200,sin_curva,,,,,,,,,,
74355000,sin_curva,,,,,,,,,,
74356000,sin_curva,,,,,,,,,,
74359000,sin_curva,,,,,,,,,,
74359600,sin_curva,,,,,,,,,,
74400000,sin_curva,,,,,,,,,,
74400080,sin_curva,,,,,,,,,,
74421400,sin_curva,,,,,,,,,,
74421800,sin_curva,,,,,,,,,,
74422200,sin_curva,,,,,,,,,,
74422250,sin_curva,,,,,,,,,,
74423080,sin_curva,,,,,,,,,,
74423100,sin_curva,,,,,,,,,,
74462000,sin_curva,,,,,,,,,,
74463000,sin_curva,,,,,,,,,,
74464500,sin_curva,,,,,,,,,,
74465000,sin_curva,,,,,,,,,,
74466000,sin_curva,,,,,,,,,,
74467000,usable_sin_validacion,1.0,2010-12-17 00:00:00.0,2023-12-31 00:00:00.0,0.0,44.0,430.0,0.0,,,
74468000,sin_curva,,,,,,,,,,
74468500,sin_curva,,,,,,,,,,
74500000,usable_con_huecos,3.0,1986-01-01 00:00:00.0,2026-12-31 00:00:00.0,1.0,-50.0,3150.0,0.0,,,
74505400,sin_curva,,,,,,,,,,
74549990,sin_curva,,,,,,,,,,
74550000,usable_sin_validacion,1.0,2015-05-15 00:00:00.0,2024-12-31 00:00:00.0,0.0,5.0,355.0,0.0,,,
74670000,sin_curva,,,,,,,,,,
74675000,sin_curva,,,,,,,,,,
74690001,sin_curva,,,,,,,,,,
74690100,sin_curva,,,,,,,,,,
74694000,sin_curva,,,,,,,,,,
74695000,sin_curva,,,,,,,,,,
74720000,usable_sin_validacion,2.0,2018-12-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,100.0,1950.0,0.0,,,
74800000,usable_con_huecos,2.0,1983-01-01 00:00:00.0,2023-12-31 00:00:00.0,1.0,10.0,1850.0,0.0,,,
75020200,sin_curva,,,,,,,,,,
75050000,sin_curva,,,,,,,,,,
75060000,sin_curva,,,,,,,,,,
75120000,sin_curva,,,,,,,,,,
75155010,sin_curva,,,,,,,,,,
75175100,sin_curva,,,,,,,,,,
75178000,sin_curva,,,,,,,,,,
75180000,sin_curva,,,,,,,,,,
75181000,usable_sin_validacion,3.0,2012-04-01 00:00:00.0,2023-12-31 00:00:00.0,0.0,40.0,1000.0,0.0,,,
75185200,sin_curva,,,,,,,,,,
75186900,sin_curva,,,,,,,,,,
75186960,sin_curva,,,,,,,,,,
75187000,sin_curva,,,,,,,,,,
75187950,sin_curva,,,,,,,,,,
75188050,sin_curva,,,,,,,,,,
75199000,sin_curva,,,,,,,,,,
75199050,sin_curva,,,,,,,,,,
75230000,usable_sin_validacion,8.0,1941-11-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,30.0,1200.0,0.0,,,
75269900,sin_curva,,,,,,,,,,
75270000,sin_curva,,,,,,,,,,
75280100,sin_curva,,,,,,,,,,
75287000,sin_curva,,,,,,,,,,
75288000,sin_curva,,,,,,,,,,
75290000,usable_sin_validacion,1.0,2003-03-01 00:00:00.0,2023-12-31 00:00:00.0,0.0,20.0,600.0,0.0,,,
75291000,sin_curva,,,,,,,,,,
75305000,sin_curva,,,,,,,,,,
75307000,sin_curva,,,,,,,,,,
75318000,sin_curva,,,,,,,,,,
75325000,sin_curva,,,,,,,,,,
75326000,sin_curva,,,,,,,,,,
75331000,sin_curva,,,,,,,,,,
75342000,sin_curva,,,,,,,,,,
75343000,sin_curva,,,,,,,,,,
75344000,sin_curva,,,,,,,,,,
75500000,usable_sin_validacion,16.0,1941-11-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,10.0,1300.0,0.0,,,
75550000,usable_con_huecos,5.0,1983-01-01 00:00:00.0,2026-12-31 00:00:00.0,1.0,-60.0,2350.0,0.0,,,
75650010,sin_curva,,,,,,,,,,
75780000,usable_con_huecos,4.0,1985-10-01 00:00:00.0,2026-12-31 00:00:00.0,1.0,20.0,1600.0,0.0,,,
75881800,sin_curva,,,,,,,,,,
75881900,sin_curva,,,,,,,,,,
75900000,usable_con_huecos,6.0,1983-01-01 00:00:00.0,2026-12-31 00:00:00.0,1.0,-40.0,1450.0,0.0,,,
76069500,sin_curva,,,,,,,,,,
76069900,sin_curva,,,,,,,,,,
76070500,sin_curva,,,,,,,,,,
76084000,sin_curva,,,,,,,,,,
76084040,sin_curva,,,,,,,,,,
76086000,sin_curva,,,,,,,,,,
76086500,sin_curva,,,,,,,,,,
76112000,sin_curva,,,,,,,,,,
76115400,sin_curva,,,,,,,,,,
