cota_cm,cota_m,vazao_m3s,rating_curve_id,segment_number,vigencia_inicio,vigencia_fin,coeficiente_a,coeficiente_h0_cm,coeficiente_n
189.0,1.89,1050.123,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
190.0,1.9,1061.394,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
191.0,1.91,1072.726,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
192.0,1.92,1084.118,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
193.0,1.93,1095.571,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
194.0,1.94,1107.085,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
195.0,1.95,1118.66,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
196.0,1.96,1130.296,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
197.0,1.97,1141.992,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
198.0,1.98,1153.749,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
199.0,1.99,1165.568,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
200.0,2.0,1177.447,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
201.0,2.01,1189.386,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
202.0,2.02,1201.387,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
203.0,2.03,1213.449,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
204.0,2.04,1225.571,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
205.0,2.05,1237.754,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
206.0,2.06,1249.999,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
207.0,2.07,1262.304,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
208.0,2.08,1274.67,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
209.0,2.09,1287.097,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
210.0,2.1,1299.584,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
211.0,2.11,1312.133,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
212.0,2.12,1324.743,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
213.0,2.13,1337.413,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
214.0,2.14,1350.145,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
215.0,2.15,1362.937,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
216.0,2.16,1375.791,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
217.0,2.17,1388.705,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
218.0,2.18,1401.681,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
219.0,2.19,1414.717,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
